# Measured per-harness cost, in seconds, used ONLY to bin-pack the shards of
# .github/workflows/kani-full.yml. It is a scheduling hint, never evidence: a
# harness's verdict comes from the run, not from this file.
#
# PROVENANCE, stated because these numbers are easy to misread:
#   Source: ~/percolator-ops/artifacts/kani-2026-08-24/results.tsv -- a SOLO run
#   (one harness at a time, nothing else on the machine) of the then-240-harness
#   suite on a 14-core arm64 box, 2026-08-24, Kani 0.67.0. Solo numbers are used
#   deliberately: every later full sweep in this project ran many workers at once
#   and its wall times are 10-14x inflated by contention (measured: 
#   proof_v16_public_resolved_close_flat_account_pays_only_capital_and_vault 344s
#   solo vs 5890s under a 12-way sweep on a loaded box). Inflated numbers would
#   bin-pack fine but would be cited as costs by someone eventually, so they are
#   not what is checked in.
#
#   That run predates the F-02/F-03/F-04/Q/I2/K changes to src/v16.rs, which made
#   several close-path harnesses genuinely more expensive, and a GitHub hosted
#   runner is slower than that box. Both make these numbers OPTIMISTIC. That is
#   acceptable for bin-packing and is why the heavy harnesses are pinned by name in
#   heavy.txt rather than left to the packer.
#
#   237 of the 330 harnesses in the census appear here; the rest (added since
#   2026-08-24, or not in that suite) are packed at the 120 s default in
#   scripts/kani_census.py. A NEW harness therefore needs no edit here to be run --
#   the shard plan is derived from the census, not from this list.
#
# Regenerate: download the kani-full-census-tsv artefact from a green
# `Kani full census` run and keep columns 1 and 3 (harness, wall_s) -- but only
# from a run whose shards were not competing for cores, or the numbers will be
# contention, not cost.
#
# harness	cost_s
proof_asymmetric_a_accrual_formula_matches_spec_53	12
proof_asymmetric_a_matched_legs_cancellation_identity	40
proof_v16_active_bitmap_set_get_count_is_exact_and_bounds_checked	3
proof_v16_adjust_u128_applies_exact_delta_or_fails_closed	4
proof_v16_asset_recovery_transition_freezes_price_and_bumps_once	1
proof_v16_asset_recovery_transition_is_idempotent_after_recovery	3
proof_v16_available_source_support_excludes_liened_and_encumbered_amounts	3
proof_v16_backing_domain_fee_split_for_lien_delta_is_exact_and_conservative	16
proof_v16_backing_provider_earnings_credit_requires_vault_slack	4
proof_v16_backing_provider_earnings_withdraw_cannot_exceed_earnings	5
proof_v16_backing_utilization_collection_cap_charge_conserves_senior_value	62
proof_v16_backing_utilization_collection_first_touch_initializes_cursor_without_value_move	20
proof_v16_backing_utilization_collection_full_charge_conserves_senior_value	64
proof_v16_backing_utilization_collection_negative_pnl_never_draws_capital	52
proof_v16_backing_utilization_fee_is_capped_by_capital_and_conserves_ctot_to_earnings	3
proof_v16_backing_utilization_fee_never_charges_negative_pnl_account	3
proof_v16_backing_utilization_fee_quote_atoms_is_exact_floor_and_time_bounded	24
proof_v16_backing_utilization_rate_above_kink_matches_exact_schedule	17
proof_v16_backing_utilization_rate_below_kink_matches_exact_schedule	33
proof_v16_backing_utilization_rate_zero_and_invalid_source_branches_are_exact	8
proof_v16_bankruptcy_residual_capacity_is_nonzero_and_bounded_with_headroom	27
proof_v16_batch_outcome_accumulator_is_exact_and_overflow_checked	3
