# THE REQUIRED KANI SET — what `Kani Proofs` runs on every PR.
#
# Columns: shard, harness, expected --exact matches, fix it is evidence for,
#          runner wall (s), local wall (s), covers satisfied / declared.
#
# The two wall columns are MEASURED, not estimated, and they do not agree, so read
# them as what they are:
#   runner_s  ubuntu-latest, Kani 0.67.0, one harness per `cargo kani` — the number
#             the 5-minute budget is checked against. Source: the runs named in
#             verify/fixes/H-4.md §9.
#   local_s   a 14-core arm64 box that was simultaneously carrying a 12-worker Kani
#             sweep plus other sessions (load average 38-87). These are contention-
#             inflated UPPER BOUNDS, sometimes by 10x, and are recorded only so the
#             runner numbers can be sanity-checked against something independent.
#             Do not cite them as per-harness costs.
#
# Selection rule (the job comment in .github/workflows/ci.yml states it too):
#   1. named in a fix dossier as the Kani evidence for a landed fix;
#   2. declares at least one kani::cover! AND satisfies all of them. A harness with
#      no cover reports `VERIFICATION:- SUCCESSFUL` while proving nothing, so it can
#      never be required evidence. `scripts/kani_census.py check-required` rejects
#      one outright, before Kani is even installed;
#   3. measured under ~5 min on the runner, so a shard stays well inside its timeout.
#
# "expected --exact matches" is 1 for every row here, and the runner asserts it.
# It is not decoration: `cargo kani --exact --harness <name>` runs EVERY harness
# with that name, and this tree has one name defined twice
# (proof_v16_adjust_u128_applies_exact_delta_or_fails_closed, in tests/proofs_v16.rs
# and tests/proofs_v16_arithmetic.rs). A rename or a new duplicate turns the count
# into 0 or 2 and the shard fails instead of quietly proving something else.
#
# To add a harness: append a row, put it in the least loaded shard, and fill the
# wall columns from a real run. To rebalance, only column 1 changes.
#
# shard	harness	expect	fix	runner_s	local_s	covers
1	proof_v16_bankruptcy_residual_capacity_is_nonzero_and_bounded_with_headroom	1	F-02	52	633	2/2
1	proof_v16_counterparty_backing_withdraw_cannot_underback_claims	1	Q2	107	?	1/1
1	proof_v16_full_drain_reset_then_prior_epoch_clear_is_total_and_exact	1	F-03	14	?	8/8
1	proof_v16_kernel_settle_close_ledger_principal_rank_witness	1	F-02P	16	?	6/6
1	proof_v16_public_terminal_insurance_retirement_requires_resolved_ready_accounts	1	I2	75	759	4/4
1	proof_v16_released_flat_pending_obligation_is_publicly_actionable	1	F-04	276	?	4/4
1	proof_v16_resolved_winddown_releases_liened_source_claim	1	Q	?	?	?
1	proof_v17_lp_vault_cooldown_enforcement	1	CI	7	?	1/1
2	proof_v16_counterparty_backing_expiry_reclassifies_principal_and_impairs_lien	1	F-04	13	?	4/4
2	proof_v16_kernel_settle_close_ledger_principal_noop_arms_are_byte_identical	1	F-02P	15	139	6/6
2	proof_v16_live_residual_booking_to_loss_bearing_side_is_bounded_and_exact	1	F-02	43	536	2/2
2	proof_v16_live_source_backing_expiry_is_bounded_complete_and_isolated	1	F-04	7	?	6/6
2	proof_v16_public_terminal_insurance_retirement_rejects_every_live_reservation_class	1	I2	275	?	4/4
2	proof_v16_public_terminal_insurance_retirement_rejects_provider_earnings	1	I2	73	491	2/2
2	proof_v16_resolved_winddown_releases_expired_liened_source_claim	1	Q	?	?	?
2	proof_v16_terminal_slab_asset_step_is_total_and_priority_ordered	1	I2	4	?	5/5
2	proof_v16_terminal_slab_wait_is_error_or_strict_cursor_progress	1	I2	?	?	?
3	proof_v16_asset_recovery_transition_freezes_price_and_bumps_once	1	CI	8	?	1/1
3	proof_v16_counterparty_backing_withdraw_delta_status_transitions_are_exact	1	Q2	6	?	10/10
3	proof_v16_global_hlock_lane_selects_hmax_only_for_global_stress_or_candidate	1	F-03	18	?	5/5
3	proof_v16_historical_bankruptcy_hlock_does_not_override_account_scope	1	F-03	77	519	3/3
3	proof_v16_kernel_settle_close_ledger_principal_preserves_the_ledger_validator	1	F-02P	161	?	4/4
3	proof_v16_public_terminal_insurance_retirement_rejects_account_capital	1	I2	58	?	2/2
3	proof_v16_public_terminal_insurance_retirement_rejects_backing_principal	1	I2	95	?	2/2
3	proof_v16_public_terminal_insurance_retirement_rejects_positive_source_claim	1	I2	238	?	2/2
3	proof_v16_recovery_legs_cannot_starve_dispatchable_auto_crank_work	1	F-04	8	?	6/6
4	proof_v16_close_progress_ledger_residual_equation_is_enforced	1	F-02	179	?	4/4
4	proof_v16_counterparty_backing_withdraw_delta_debits_only_unliened_backing	1	Q2	34	?	2/2
4	proof_v16_negative_pnl_settlement_consumes_principal_before_residual	1	F-02	61	?	2/2
4	proof_v16_positive_pnl_requires_full_source_claim_attribution	1	K	6	37	3/3
4	proof_v16_public_terminal_insurance_retirement_is_exact_and_fully_framed	1	I2	88	668	2/2
4	proof_v16_released_flat_pending_obligation_detach_is_value_neutral_progress	1	F-04	223	1489	2/2
4	proof_v16_resolved_residual_booking_without_loss_bearing_side_is_explicit_only	1	F-02	77	435	1/1
#
# -------------------------------------------------------------------------
# DELIBERATELY EXCLUDED — named by the same fix dossiers, NOT run here.
# Each exclusion carries the measurement that caused it, so the list can be
# re-argued rather than guessed at.
#
# proof_v16_fully_backed_expiry_yields_zero_realizable_support
#   Declares NO kani::cover!. A 3-line concrete harness; F-04's own verdict already
#   reports it as evidence-free rather than as a pass. Barred from any required set by
#   scripts/kani_census.py check-required -- putting it back fails the job in ~1 s.
#
# proof_v16_retire_empty_asset_is_value_neutral_and_epoch_scoped
#   KILLED THE RUNNER. Measured here: run 34942808530, job 104295171244 (Kani shard 2),
#   620 s into CBMC the VM died -- "The runner has received a shutdown signal" at
#   2026-09-15T07:53:11Z -- and the shard's results TSV was lost with it, because an
#   `if: always()` step cannot run on a dead runner. Not a timeout: the job was 13m46s
#   old against a 45-minute limit. 190 s solo on a 14-core box in 2026-08.
#   -> .github/kani/hosted_runner_excluded.tsv; verify it locally.
#
# proof_v16_expired_backing_yields_zero_realizable_support_after_expiry
#   799 s solo (2026-08-24), 7093 s on a loaded box -- and the 2026-08-27 CI policy
#   comment records a hosted runner being killed on exactly this harness.
#   -> .github/kani/hosted_runner_excluded.tsv.
#
# proof_v16_terminal_realization_floored_rate_pays_zero_and_moves_nothing
#   1800 s solo -- and that was the 2026-08-24 run's per-harness TIMEOUT cap, so a lower
#   bound rather than a measurement; 3710 s on a loaded box.
#   -> .github/kani/hosted_runner_excluded.tsv.
#
# proof_v16_public_counterparty_backing_withdraw_debits_vault_and_scaled_source_state
#   410 s on the runner (run 34942808530, job 104295171177, SUCCESSFUL, 2 of 2 covers,
#   0 of 4604 checks failed) -- over the ~5-minute per-harness budget this tier is held
#   to. It verifies fine; it is just too slow for a PR. Runs in the scheduled tier.
#   Q2's other public entry, ..._rejects_underbacking_source_claims, is kept.
#
# proof_v16_kernel_advance_close_ledger_rank_witness
#   446 s on the runner (run 34942808530, job 104295171121, SUCCESSFUL, 1 of 1 covers,
#   0 of 47 checks failed) -- over the ~5-minute per-harness budget. Only 47 checks, but
#   the unwinding is deep; check count is not cost. F-02's other five harnesses are kept,
#   and the close-ledger rank witness is re-proved by
#   proof_v16_kernel_settle_close_ledger_principal_rank_witness (16 s), which is kept.
#
# proof_v16_public_counterparty_backing_withdraw_rejects_underbacking_source_claims
#   630 s on the runner (run 34942808530, job 104295171121, SUCCESSFUL, 2 of 2 covers,
#   0 of 4620 checks failed) -- the slowest harness that finished anywhere in the probe.
#   Over budget. The gate it exercises is proved directly and cheaply by the three
#   counterparty_backing_withdraw_delta_* harnesses (6 s, 34 s, 107 s), which are kept.
#
# -------------------------------------------------------------------------
